text,slot,intent,intent_id,phrase,phrase_id,phrase_id_pad,srl,srl_id,srl_id_pad
show me the picture creatures of light and darkness,O O O B-object_type B-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork,2,"['VP', 'NP', 'NP', 'NP', 'NP', 'PP', 'NP', 'NP', 'NP']","[2, 1, 1, 1, 1, 3, 1, 1, 1]","[2, 1, 1, 1, 1, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['PRED', 'ARG2', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1']","[14, 3, 2, 2, 2, 2, 2, 2, 2]","[14, 3, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
search for the adventures of cookie & cream,O O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork,2,"['NP', 'PP', 'NP', 'NP', 'PP', 'NP', 'NP', 'NP']","[1, 3, 1, 1, 3, 1, 1, 1]","[1, 3, 1, 1, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['PRED', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1']","[14, 2, 2, 2, 2, 2, 2, 2]","[14, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
play hell house song,O B-object_name I-object_name B-object_type,SearchCreativeWork,2,"['VP', 'NP', 'NP', 'NP']","[2, 1, 1, 1]","[2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['PRED', 'ARG1', 'ARG1', 'ARG1']","[14, 2, 2, 2]","[14, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i d like to see the show onion sportsdome,O O O O O O B-object_type B-object_name I-object_name,SearchCreativeWork,2,"['NP', 'VP', 'VP', 'VP', 'VP', 'NP', 'NP', 'NP', 'NP']","[1, 2, 2, 2, 2, 1, 1, 1, 1]","[1, 2, 2, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['ARG0', 'ARGM-MOD', 'PRED', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1']","[1, 8, 14, 2, 2, 2, 2, 2, 2]","[1, 8, 14, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
find a video game called victory march,O O B-object_type I-object_type O B-object_name I-object_name,SearchCreativeWork,2,"['VP', 'NP', 'NP', 'NP', 'VP', 'NP', 'NP']","[2, 1, 1, 1, 2, 1, 1]","[2, 1, 1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['PRED', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1']","[14, 2, 2, 2, 2, 2, 2]","[14, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
find a novel called industry,O O B-object_type O B-object_name,SearchCreativeWork,2,"['VP', 'NP', 'NP', 'VP', 'NP']","[2, 1, 1, 2, 1]","[2, 1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['PRED', 'ARG1', 'ARG1', 'ARG1', 'ARG1']","[14, 2, 2, 2, 2]","[14, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
please find the movie dancing girl,O O O B-object_type B-object_name I-object_name,SearchCreativeWork,2,"['S', 'VP', 'NP', 'NP', 'VP', 'NP']","[11, 2, 1, 1, 2, 1]","[11, 2, 1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['ARGM-DIS', 'PRED', 'ARG1', 'ARG1', 'ARG1', 'ARG1']","[11, 14, 2, 2, 2, 2]","[11, 14, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
find resurrection of evil,O B-object_name I-object_name I-object_name,SearchCreativeWork,2,"['VP', 'NP', 'PP', 'NP']","[2, 1, 3, 1]","[2, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['PRED', 'ARG1', 'ARG1', 'ARG1']","[14, 2, 2, 2]","[14, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
find young miss holmes,O B-object_name I-object_name I-object_name,SearchCreativeWork,2,"['VP', 'ADJP', 'VP', 'NP']","[2, 6, 2, 1]","[2, 6, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['PRED', 'ARG1', 'ARG1', 'ARG1']","[14, 2, 2, 2]","[14, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
show me the painting called fool for love,O O O B-object_type O B-object_name I-object_name I-object_name,SearchCreativeWork,2,"['VP', 'NP', 'NP', 'NP', 'VP', 'NP', 'PP', 'NP']","[2, 1, 1, 1, 2, 1, 3, 1]","[2, 1, 1, 1, 2, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['PRED', 'ARG2', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1']","[14, 3, 2, 2, 2, 2, 2, 2]","[14, 3, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
