text,slot,intent,intent_id
find fish story,O B-movie_name I-movie_name,SearchScreeningEvent,1
give me a list of movie times for films in the area,O O O O O B-object_type I-object_type O B-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent,1
find a movie house showing cage without a key,O O B-object_location_type I-object_location_type O B-movie_name I-movie_name I-movie_name I-movie_name,SearchScreeningEvent,1
find animated movies nearest at a movie house,O B-movie_type I-movie_type B-spatial_relation O O B-object_location_type I-object_location_type,SearchScreeningEvent,1
find me showtimes for animated movies in the neighbourhood,O O O O B-movie_type I-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent,1
find movie times,O B-object_type I-object_type,SearchScreeningEvent,1
show movie schedules for douglas theatre company,O B-object_type I-object_type O B-location_name I-location_name I-location_name,SearchScreeningEvent,1
let me see the movie schedule for seed of chucky,O O O O O B-object_type O B-movie_name I-movie_name I-movie_name,SearchScreeningEvent,1
in the area find some films,B-spatial_relation I-spatial_relation I-spatial_relation O O B-movie_type,SearchScreeningEvent,1
what times will the young swordsman be showing at a local cinema,O B-object_type O B-movie_name I-movie_name I-movie_name O O O O O B-object_location_type,SearchScreeningEvent,1
show me the movie schedule for star theatres,O O O B-object_type I-object_type O B-location_name I-location_name,SearchScreeningEvent,1
is happy ghost iii at caribbean cinemas,O B-movie_name I-movie_name I-movie_name O B-location_name I-location_name,SearchScreeningEvent,1
what films are playing at goodrich quality theaters,O B-movie_type O O O B-location_name I-location_name I-location_name,SearchScreeningEvent,1
find the movie schedule for animated movies around here,O O B-object_type I-object_type O B-movie_type I-movie_type B-spatial_relation I-spatial_relation,SearchScreeningEvent,1
what films are playing at the nearest movie theatre,O B-movie_type O O O O B-spatial_relation B-object_location_type I-object_location_type,SearchScreeningEvent,1
find the closest movie theatre with films,O O B-spatial_relation B-object_location_type I-object_location_type O B-movie_type,SearchScreeningEvent,1
is live from sturgis 2006 playing at four o clock at the nearest cinema,O B-movie_name I-movie_name I-movie_name I-movie_name O O B-timeRange I-timeRange I-timeRange O O B-spatial_relation B-object_location_type,SearchScreeningEvent,1
she me movie times,O O B-object_type I-object_type,SearchScreeningEvent,1
which films are playing at malco theatres,O B-movie_type O O O B-location_name I-location_name,SearchScreeningEvent,1
show movie schedules,O B-object_type I-object_type,SearchScreeningEvent,1
