text,slot,intent,intent_id,phrase,phrase_id,phrase_id_pad,srl,srl_id,srl_id_pad
i need a forecast for jetmore massachusetts in 1 hour and 1 second from now,O O O O O B-city B-state O B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange,GetWeather,0,"['NP', 'VP', 'NP', 'NP', 'PP', 'NP', 'NP', 'PP', 'QP', 'QP', 'QP', 'QP', 'ADVP', 'PP', 'ADVP']","[1, 2, 1, 1, 3, 1, 1, 3, 5, 5, 5, 5, 8, 3, 8]","[1, 2, 1, 1, 3, 1, 1, 3, 5, 5, 5, 5, 8, 3, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['ARG0', 'PRED', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[1, 14, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26]","[1, 14, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
please let me know the weather forcast of stanislaus national forest far in nine months,O O O O O O O O B-geographic_poi I-geographic_poi I-geographic_poi B-spatial_relation B-timeRange I-timeRange I-timeRange,GetWeather,0,"['S', 'VP', 'NP', 'VP', 'NP', 'NP', 'NP', 'PP', 'NP', 'NP', 'NP', 'ADVP', 'PP', 'NP', 'NP']","[11, 2, 1, 2, 1, 1, 1, 3, 1, 1, 1, 8, 3, 1, 1]","[11, 2, 1, 2, 1, 1, 1, 3, 1, 1, 1, 8, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['ARGM-DIS', 'PRED', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1']","[11, 14, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[11, 14, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
what s the weather in my current spot the day after tomorrow,O O O O O O B-current_location I-current_location B-timeRange I-timeRange I-timeRange I-timeRange,GetWeather,0,"['SBARQ', 'SQ', 'NP', 'NP', 'PP', 'NP', 'NP', 'NP', 'NP', 'NP', 'PP', 'NP']","[7, 4, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1]","[7, 4, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['ARG2', 'PRED', '_', '_', '_', '_', '_', '_', 'ARGM-TMP', 'ARGM-TMP', 'ARGM-TMP', 'ARGM-TMP']","[3, 14, 26, 26, 26, 26, 26, 26, 7, 7, 7, 7]","[3, 14, 26, 26, 26, 26, 26, 26, 7, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
what is the weather like in the city of frewen in the country of venezuela,O O O O O O O O O B-city O O O O B-country,GetWeather,0,"['SBARQ', 'SQ', 'NP', 'NP', 'PP', 'PP', 'NP', 'NP', 'PP', 'NP', 'PP', 'NP', 'NP', 'PP', 'NP']","[7, 4, 1, 1, 3, 3, 1, 1, 3, 1, 3, 1, 1, 3, 1]","[7, 4, 1, 1, 3, 3, 1, 1, 3, 1, 3, 1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['_', 'PRED', 'ARG1', 'ARG1', 'ARG2', 'ARGM-LOC', 'ARGM-LOC', 'ARGM-LOC', 'ARGM-LOC', 'ARGM-LOC', 'ARGM-LOC', 'ARGM-LOC', 'ARGM-LOC', 'ARGM-LOC', 'ARGM-LOC']","[26, 14, 2, 2, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[26, 14, 2, 2, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
will it be colder in ohio,O O O B-condition_temperature O B-state,GetWeather,0,"['SQ', 'NP', 'VP', 'ADJP', 'PP', 'NP']","[4, 1, 2, 6, 3, 1]","[4, 1, 2, 6, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['ARGM-MOD', 'ARG1', 'PRED', 'ARG2', 'ARGM-LOC', 'ARGM-LOC']","[8, 2, 14, 3, 6, 6]","[8, 2, 14, 3, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
what is the weather not far from upper klamath national wildlife refuge,O O O O B-spatial_relation I-spatial_relation O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,GetWeather,0,"['SBARQ', 'SQ', 'NP', 'NP', 'PP', 'PP', 'PP', 'NP', 'NP', 'NP', 'NP', 'NP']","[7, 4, 1, 1, 3, 3, 3, 1, 1, 1, 1, 1]","[7, 4, 1, 1, 3, 3, 3, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['ARG2', 'PRED', 'ARG1', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_']","[3, 14, 2, 2, 26, 26, 26, 26, 26, 26, 26, 26]","[3, 14, 2, 2, 26, 26, 26, 26, 26, 26, 26, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
will it storm in charles pinckney national historic site,O O B-condition_description O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,GetWeather,0,"['SQ', 'NP', 'VP', 'PP', 'NP', 'NP', 'NP', 'NP', 'NP']","[4, 1, 2, 3, 1, 1, 1, 1, 1]","[4, 1, 2, 3, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['ARGM-MOD', 'ARG0', 'PRED', '_', '_', '_', '_', '_', '_']","[8, 1, 14, 26, 26, 26, 26, 26, 26]","[8, 1, 14, 26, 26, 26, 26, 26, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
is it supposed to rain nearby my current location at 0 o clock,O O O O B-condition_description B-spatial_relation O B-current_location I-current_location O B-timeRange I-timeRange I-timeRange,GetWeather,0,"['VP', 'NP', 'VP', 'VP', 'VP', 'ADVP', 'NP', 'NP', 'NP', 'PP', 'NP', 'PP', 'NP']","[2, 1, 2, 2, 2, 8, 1, 1, 1, 3, 1, 3, 1]","[2, 1, 2, 2, 2, 8, 1, 1, 1, 3, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['_', '_', 'PRED', 'ARG2', 'ARG2', 'ARG2', 'ARG2', 'ARG2', 'ARG2', 'ARG2', 'ARG2', 'ARG2', 'ARG2']","[26, 26, 14, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[26, 26, 14, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
what is the weather supposed to be like in new jersey three months from now,O O O O O O O O O B-state I-state B-timeRange I-timeRange I-timeRange I-timeRange,GetWeather,0,"['SBARQ', 'SQ', 'NP', 'NP', 'VP', 'VP', 'VP', 'PP', 'PP', 'NP', 'NP', 'NP', 'NP', 'PP', 'ADVP']","[7, 4, 1, 1, 2, 2, 2, 3, 3, 1, 1, 1, 1, 3, 8]","[7, 4, 1, 1, 2, 2, 2, 3, 3, 1, 1, 1, 1, 3, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['_', '_', 'ARG1', 'ARG1', 'PRED', 'ARG2', 'ARG2', 'ARG2', 'ARG2', 'ARG2', 'ARG2', 'ARG2', 'ARG2', 'ARG2', 'ARG2']","[26, 26, 2, 2, 14, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[26, 26, 2, 2, 14, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
will it be warmer now in covenant life,O O O B-condition_temperature B-timeRange O B-city I-city,GetWeather,0,"['SQ', 'NP', 'VP', 'ADJP', 'ADVP', 'PP', 'NP', 'NP']","[4, 1, 2, 6, 8, 3, 1, 1]","[4, 1, 2, 6, 8, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['ARGM-MOD', 'ARG1', 'PRED', 'ARG2', 'ARGM-TMP', 'ARGM-LOC', 'ARGM-LOC', 'ARGM-LOC']","[8, 2, 14, 3, 7, 6, 6, 6]","[8, 2, 14, 3, 7, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
