text,slot,intent,intent_id
add step to me to the 50 cl¨¢sicos playlist,O B-entity_name I-entity_name I-entity_name O O B-playlist I-playlist O,AddToPlaylist,5
please add iris dement to my playlist this is selena,O O B-artist I-artist O B-playlist_owner O B-playlist I-playlist I-playlist,AddToPlaylist,5
add slimm cutta calhoun to my this is prince playlist,O B-artist I-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist,5
add to playlist confidence boost here comes santa claus,O O O B-playlist I-playlist B-entity_name I-entity_name I-entity_name I-entity_name,AddToPlaylist,5
add another artist to the spotlight on country 2016 playlist,O O B-music_item O O B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,5
add sugarolly days to my list your favorite slaughterhouse,O B-entity_name I-entity_name O B-playlist_owner O B-playlist I-playlist I-playlist,AddToPlaylist,5
add this track to my global funk,O O B-music_item O B-playlist_owner B-playlist I-playlist,AddToPlaylist,5
add manuelita to my indiespensables playlist,O B-entity_name O B-playlist_owner B-playlist O,AddToPlaylist,5
add this artist to gretchen s soul revived playlist,O O B-music_item O B-playlist_owner I-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
put this song on my playlist in the name of blues,O O B-music_item O B-playlist_owner O B-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist,5
add rak biszewilo to my playlist named jazz,O B-entity_name I-entity_name O B-playlist_owner O O B-playlist,AddToPlaylist,5
add falling upstairs to the playlist named chill out,O B-entity_name I-entity_name O O O O B-playlist I-playlist,AddToPlaylist,5
add the entire album into indie espa?ol,O O O B-music_item O B-playlist I-playlist,AddToPlaylist,5
add this album to the playlist called dishwashing,O O B-music_item O O O O B-playlist,AddToPlaylist,5
put playa fly onto my 2010 decade playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add bret mckenzie to my pop commute playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add this song to my playlist named wild country,O O B-music_item O B-playlist_owner O O B-playlist I-playlist,AddToPlaylist,5
add artist to lo mejor de los 00 s,O B-music_item O B-playlist I-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist,5
i d like johnny nash to be put into my playlist always pop punk,O O O B-artist I-artist O O O O B-playlist_owner O B-playlist I-playlist I-playlist,AddToPlaylist,5
put this album in shuffle syndrome,O O B-music_item O B-playlist I-playlist,AddToPlaylist,5
add a track to my hands up playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add rosemary clooney to pura vida playlist,O B-artist I-artist O B-playlist I-playlist O,AddToPlaylist,5
